Sppcode	strComName	strSciName	MGCode	MGName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
bALHUx	Allen's Hummingbird	Selasphorus sasin	M009	Californian Forest & Woodland	9	9	895,829.9	895,829.9	0
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	3	9	56,715.4	141,055.8	60
bCOYEx	Common Yellowthroat	Geothlypis trichas	M092	North America Warm-Desert Xeric-Riparian Scrub	1	1	305,766.1	305,766.1	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M309	Southeastern Coastal Plain Patch Prairie	2	3	303.1	303.1	0
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M029	Central Hardwoods Floodplain Forest	8	9	900,557.6	1,038,394.0	13
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M101	Vancouverian Alpine Tundra	1	3	21,891.7	59,856.3	63
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M131	Eastern North American Alpine Tundra	1	2	851.8	4,438.4	81
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M882	Central Midwest Mesic Forest	3	3	526,393.4	526,427.5	0
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M023	Southern Vancouverian Montane-Foothill Forest	4	7	1,176,295.0	1,188,569.3	1
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M052	Great Plains Sand Grassland & Shrubland	2	2	2,806,507.7	2,806,507.7	0
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M512	North American Warm Desert Ruderal Scrub & Grassland	1	1	3,882,185.3	3,882,185.3	0
mSAMBx	Sambar	Rusa unicolor	M015	Edwards Plateau Forest & Woodland	4	4	3,114,430.3	3,114,430.3	0
mSAMBx	Sambar	Rusa unicolor	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	3	11	1,081.4	1,137.7	5
bALHUx	Allen's Hummingbird	Selasphorus sasin	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	2	9	5,877.0	21,490.1	73
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M023	Southern Vancouverian Montane-Foothill Forest	6	7	3,420,054.3	3,420,870.5	0
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M024	Vancouverian Lowland & Montane Forest	5	10	1,522,989.6	2,157,107.2	29
bCOYEx	Common Yellowthroat	Geothlypis trichas	M007	Longleaf Pine Woodland	12	20	1,883,103.9	5,747,747.1	67
bCOYEx	Common Yellowthroat	Geothlypis trichas	M009	Californian Forest & Woodland	5	9	523,898.3	1,324,756.6	60
bCOYEx	Common Yellowthroat	Geothlypis trichas	M710	Caribbean Freshwater Marsh, Wet Meadow & Shrubland	3	3	825,395.5	825,395.5	0
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M015	Edwards Plateau Forest & Woodland	3	4	4,880,323.4	4,899,398.3	0
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M087	Chihuahuan Semi-Desert Grassland	5	5	1,276,332.7	1,283,907.4	1
mNOMYx	Northern Myotis	Myotis septentrionalis	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	1	9	94.1	94.1	0
mSAMBx	Sambar	Rusa unicolor	M024	Vancouverian Lowland & Montane Forest	1	10	2,325.1	2,325.1	0
mSAMBx	Sambar	Rusa unicolor	M057	Eastern North American Dune & Coastal Grassland	2	8	2,908.1	2,908.1	0
rGRANx	Green Anole	Anolis carolinensis	M015	Edwards Plateau Forest & Woodland	2	4	385,609.4	2,406,775.8	84
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M009	Californian Forest & Woodland	4	9	854,448.8	1,175,475.2	27
bCOYEx	Common Yellowthroat	Geothlypis trichas	M015	Edwards Plateau Forest & Woodland	2	4	8,193.6	141,714.6	94
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M035	Vancouverian Flooded & Swamp Forest	2	3	82,819.2	101,430.6	18
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M009	Californian Forest & Woodland	3	9	804,937.7	827,408.1	3
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	2	28	1,084,692.6	14,286,942.7	92
mACSHx	Arctic Shrew	Sorex arcticus	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	4	4	589,908.7	589,908.7	0
mACSHx	Arctic Shrew	Sorex arcticus	M077	Great Plains Saline Wet Meadow & Marsh	1	1	4,697.9	4,697.9	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M024	Vancouverian Lowland & Montane Forest	8	10	5,863,298.3	6,585,443.7	11
bCOYEx	Common Yellowthroat	Geothlypis trichas	M888	Arid West Interior Freswater Marsh	3	3	192,397.3	370,477.0	48
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M024	Vancouverian Lowland & Montane Forest	9	10	6,140,351.3	6,176,724.0	1
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M076	Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland	2	2	67,028.4	67,028.4	0
bSTJAx	Steller's Jay	Cyanocitta stelleri	M009	Californian Forest & Woodland	7	9	3,567,712.6	4,132,113.8	14
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M029	Central Hardwoods Floodplain Forest	5	9	549,264.2	558,112.2	2
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	2	7	8,890,103.0	9,169,265.3	3
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	2	6	433,233.8	784,889.9	45
bCMWAx	Cape May Warbler	Dendroica tigrina	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	6	7	9,603,728.8	12,012,064.2	20
bOCWAx	Orange-crowned Warbler	Vermivora celata	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	10	10	10,717,937.1	13,629,179.1	21
bWCPIx	White-crowned Pigeon	Patagioenas leucocephala	M005	Western Atlantic & Caribbean Mangrove	1	1	233,199.6	233,199.6	0
mBDSHx	Baird's Shrew	Sorex bairdi	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	3	10	2,218.5	201,067.8	99
mBDSHx	Baird's Shrew	Sorex bairdi	M025	Vancouverian Subalpine Forest	3	7	53,833.6	53,833.6	0
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M011	Madrean Montane Forest & Woodland	2	2	654,586.1	654,586.1	0
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M500	Central Rocky Mountain Mesic Lower Montane Forest	1	3	6.0	3,374.2	100
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M161	Pond-cypress Basin Swamp	2	3	962.6	962.6	0
rYBSLx	Yellow-backed Spiny Lizard	Sceloporus uniformis	M011	Madrean Montane Forest & Woodland	2	2	33,076.4	33,076.4	0
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M034	Rocky Mountain-Great Basin Montane Riparian Forest	4	6	620,579.4	622,755.1	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M026	Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland	4	4	9,034,071.8	9,034,071.8	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M050	Southern Vancouverian Lowland Grassland & Shrubland	3	4	355,523.5	370,507.1	4
