Sppcode	strComName	strSciName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
aARSAx	Arboreal Salamander	Aneides lugubris	7	16	1,652,848.9	1,652,848.9	44
aCMSAx	Caddo Mountain Salamander	Plethodon caddoensis	4	31	151,066.4	151,066.4	40
aCPSAx	Cumberland Plateau Salamander	Plethodon kentucki	6	15	318,961.9	318,961.9	21
aCSLSx	California Slender Salamander	Batrachoseps attenuatus	43	87	4,369,281.4	4,369,281.4	10
aCUTRx	Cuban Treefrog	Osteopilus septentrionalis	19	85	2,208,754.9	2,208,754.9	26
aCVSAx	Cave Salamander	Eurycea lucifuga	31	119	20,188,087.2	20,188,087.2	10
aERBSx	Eastern Red-backed Salamander	Plethodon cinereus	36	88	51,717,888.0	51,717,888.0	4
aFMSAx	Fourch Mountain Salamander	Plethodon fourchensis	3	31	54,343.4	54,343.4	40
aGBSAx	Georgia Blind Salamander	Haideotriton wallacei	6	64	52,084.2	52,084.2	89
aHUSPx	Hurter's Spadefoot	Scaphiopus hurterii	60	195	18,887,782.9	18,887,782.9	14
aKSSAx	Kiamichi Slimy Salamander	Plethodon kiamichi	6	51	104,127.9	104,127.9	49
aLASAx	Louisiana Slimy Salamander	Plethodon kisatchie	12	90	982,401.6	982,401.6	4
aLMSAx	Larch Mountain Salamander	Plethodon larselli	13	51	705,248.3	705,248.3	43
aMXTRx	Mexican Treefrog	Smilisca baudinii	13	60	619,993.7	619,993.7	24
aNJFRx	New Jersey Chorus Frog	Pseudacris kalmi	7	42	447,061.0	447,061.0	3
aNRSAx	Northern Ravine Salamander	Plethodon electromorphus	14	84	3,997,158.7	3,997,158.7	25
aNZSAx	Northern Zigzag Salamander	Plethodon dorsalis	5	51	5,437,428.3	5,437,428.3	3
aOZSAx	Ozark Zigzag Salamander	Plethodon angusticlavius	5	39	2,849,183.2	2,849,183.2	9
aPLSPx	Plains Spadefoot	Spea bombifrons	112	207	191,061,460.1	191,061,460.1	12
aRHSAx	Red Hills Salamander	Phaeognathus hubrichti	2	8	26,030.2	26,030.2	0
aRISAx	Ringed Salamander	Ambystoma annulatum	21	101	9,336,765.9	9,336,765.9	1
aRMSAx	Rich Mountain Salamander	Plethodon ouachitae	3	31	141,363.5	141,363.5	48
aSCSAx	Scott Bar Salamander	Plethodon asupak	29	64	116,439.8	116,439.8	11
aSQSAx	Sequoyah Slimy Salamander	Plethodon sequoyah	10	84	85,373.6	85,373.6	20
aSRBSx	Southern Red-backed Salamander	Plethodon serratus	37	137	8,191,797.9	8,191,797.9	19
aSRSAx	Southern Ravine Salamander	Plethodon richmondi	20	71	6,060,864.5	6,060,864.5	5
aSYSAx	Siskiyou Mountains Salamander	Plethodon stormi	16	45	249,861.1	249,861.1	2
aSZSAx	Southern Zigzag Salamander	Plethodon ventralis	5	62	4,314,271.6	4,314,271.6	23
aTCSAx	Tennessee Cave Salamander	Gyrinophilus palleucus	8	77	1,548,067.6	1,548,067.6	19
aTESAx	Tellico Salamander	Plethodon aureolus	8	32	134,698.0	134,698.0	12
aWASAx	Wandering Salamander	Aneides vagrans	13	48	1,360,302.6	1,360,302.6	13
aWBSAx	Webster's Salamander	Plethodon websteri	12	69	1,736,163.9	1,736,163.9	44
aWSSAx	Western Slimy Salamander	Plethodon albagula	35	141	8,577,326.2	8,577,326.2	28
bACWOx	Acorn Woodpecker	Melanerpes formicivorus	29	78	9,313,821.5	9,313,821.5	53
bALHUx	Allen's Hummingbird	Selasphorus sasin	41	79	3,101,059.8	3,101,059.8	15
bAMWOx	American Woodcock	Scolopax minor	102	236	130,025,628.9	130,025,628.9	36
bATSPx	American Tree Sparrow	Spizella arborea	118	300	308,798,675.1	308,798,675.1	33
bBBWAx	Bay-breasted Warbler	Dendroica castanea	11	24	13,151,187.5	13,151,187.5	1
bBBWOx	Black-backed Woodpecker	Picoides arcticus	65	131	37,368,477.9	37,368,477.9	33
bBCVIx	Black-capped Vireo	Vireo atricapilla	10	20	11,611,285.7	11,611,285.7	7
bBHGRx	Black-headed Grosbeak	Pheucticus melanocephalus	136	215	85,338,342.4	85,338,342.4	57
