Sppcode	MGCode	MGName	HabMUMG_Cnt	HabMG_Cnt	HabMUMG_Ha	HabMG_Ha	MUMG/MG Ratio
bYRWAx	M023	Southern Vancouverian Montane-Foothill Forest	84502519	84502519	7,605,226.7	7,605,226.7	100
rCFLSx	M013	Eastern North American Ruderal Forest	15996189	69512122	1,439,657.0	6,256,091.0	23
bEATOx	7.B.2	Pasture & Hay Field Crop	489223972	489223972	44,030,157.5	44,030,157.5	100
mSAMBx	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	173496	173496	15,614.6	15,614.6	100
mNOSSx	M300	North American Boreal Flooded & Rich Swamp	915154	915154	82,363.9	82,363.9	100
mSTWOx	M034	Rocky Mountain-Great Basin Montane Riparian Forest	503	444690	45.3	40,022.1	0
bVERDx	M036	Interior Warm & Cool Desert Riparian Forest	3171042	3196450	285,393.8	287,680.5	99
bSNOWx	M048	Central Rocky Mountain Montane-Foothill Grassland & Shrubland	38738855	51559815	3,486,497.0	4,640,383.4	75
mNBLEx	M500	Central Rocky Mountain Mesic Lower Montane Forest	12008427	12008427	1,080,758.4	1,080,758.4	100
bPRFAx	M512	North American Warm Desert Ruderal Scrub & Grassland	74983135	74983135	6,748,482.2	6,748,482.2	100
bMERLx	M169	Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland	389584760	389584760	35,062,628.4	35,062,628.4	100
mNOSSx	M508	Central Interior Calcareous Scrub & Grassland	1545891	3098011	139,130.2	278,821.0	50
mCSMOx	M886	Southern Vancouverian Dry Foothill Forest	5124682	5124682	461,221.4	461,221.4	100
bSTJAx	M886	Southern Vancouverian Dry Foothill Forest	7171143	7171143	645,402.9	645,402.9	100
rWBHSx	M023	Southern Vancouverian Montane-Foothill Forest	10095872	10095872	908,628.5	908,628.5	100
bSNBUx	M082	Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland	17630317	49305053	1,586,728.5	4,437,454.8	36
rDENIx	M512	North American Warm Desert Ruderal Scrub & Grassland	11929595	11929595	1,073,663.6	1,073,663.6	100
bPISIx	M886	Southern Vancouverian Dry Foothill Forest	7238598	7238598	651,473.8	651,473.8	100
bACWOx	M036	Interior Warm & Cool Desert Riparian Forest	4104599	5233808	369,413.9	471,042.7	78
bBCVIx	M512	North American Warm Desert Ruderal Scrub & Grassland	16566374	16566374	1,490,973.7	1,490,973.7	100
bWESJx	M886	Southern Vancouverian Dry Foothill Forest	1390064	2422872	125,105.8	218,058.5	57
mNOMYx	M882	Central Midwest Mesic Forest	47347308	47347308	4,261,257.7	4,261,257.7	100
rSHNSx	12.A	Barren	384376	450003	34,593.8	40,500.3	85
bCOREx	M069	Eastern North American Marsh, Wet Meadow & Shrubland	19393207	23028475	1,745,388.6	2,072,562.8	84
aPLSPx	M034	Rocky Mountain-Great Basin Montane Riparian Forest	2804726	3070485	252,425.3	276,343.7	91
aMXTRx	M057	Eastern North American Dune & Coastal Grassland	325902	325902	29,331.2	29,331.2	100
mNBARx	12.A	Barren	385818	1388472	34,723.6	124,962.5	28
aSCSAx	M036	Interior Warm & Cool Desert Riparian Forest	9299	9299	836.9	836.9	100
bYGVIx	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	38938	38938	3,504.4	3,504.4	100
bCBCHx	M048	Central Rocky Mountain Montane-Foothill Grassland & Shrubland	331336	23172049	29,820.2	2,085,484.4	1
mWTWOx	M015	Edwards Plateau Forest & Woodland	21117142	22763537	1,900,542.8	2,048,718.3	93
bYWARx	M034	Rocky Mountain-Great Basin Montane Riparian Forest	9511624	9511624	856,046.2	856,046.2	100
mOLDEx	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	1310296	3802165	117,926.6	342,194.9	34
bPISIx	M169	Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland	10940632	563856058	984,656.9	50,747,045.2	2
rBHSKx	M012	Central Midwest Oak Forest, Woodland & Savanna	16858992	17141340	1,517,309.3	1,542,720.6	98
bSNBUx	M300	North American Boreal Flooded & Rich Swamp	915154	915154	82,363.9	82,363.9	100
mBOGOx	M170	Great Basin-Intermountain Dwarf Sagebrush Steppe & Shrubland	1083022	3053564	97,472.0	274,820.8	35
bCOYEx	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	67836424	135635432	6,105,278.2	12,207,188.9	50
bWESJx	M034	Rocky Mountain-Great Basin Montane Riparian Forest	3374235	3700726	303,681.2	333,065.3	91
bEUCDx	M508	Central Interior Calcareous Scrub & Grassland	4063488	4063488	365,713.9	365,713.9	100
rTSLIx	M154	Southern Great Plains Floodplain Forest & Woodland	3823239	3823239	344,091.5	344,091.5	100
mPASHp	M009	Californian Forest & Woodland	135334	435811	12,180.1	39,223.0	31
bATSPx	7.A.1	Woody Horticultural Crop	353	353	31.8	31.8	100
mCSMOx	M169	Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland	21401603	22946909	1,926,144.3	2,065,221.8	93
bCOYEx	12.A	Barren	686906	3742817	61,821.5	336,853.5	18
mNOMYx	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	7424033	7428899	668,163.0	668,600.9	100
bPISIx	M500	Central Rocky Mountain Mesic Lower Montane Forest	28610059	28610059	2,574,905.3	2,574,905.3	100
mNBARx	M882	Central Midwest Mesic Forest	7676029	7676029	690,842.6	690,842.6	100
bRCKIx	M170	Great Basin-Intermountain Dwarf Sagebrush Steppe & Shrubland	32533817	32533817	2,928,043.5	2,928,043.5	100
bLEGOx	M034	Rocky Mountain-Great Basin Montane Riparian Forest	4894897	4895634	440,540.7	440,607.1	100
bHETHx	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	251224449	251227670	22,610,200.4	22,610,490.3	100
bLEGOx	M011	Madrean Montane Forest & Woodland	6372947	7273605	573,565.2	654,624.5	88
mCSMOx	M500	Central Rocky Mountain Mesic Lower Montane Forest	6036601	6036601	543,294.1	543,294.1	100
bSOSPx	M130	Tamaulipan Scrub & Grassland	36011612	36014982	3,241,045.1	3,241,348.4	100
aLASAx	M008	Southern Mesic Mixed Broadleaf Forest	997268	997268	89,754.1	89,754.1	100
